OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
11,11,33,065,JEFFERSON,Jefferson,FL,910,19,19,60,109,134,148,173,152,74,21,1,0 to 101,52,432,474,4,902,8,0,27,702,41,231,16,337,573,0,0,902,283,49,5,0,91,241,0,332,4,4,31,62,58,67,57,35,11,8,0,0 to 95,47,97,103,15,117,15,186,131,32,2,23,0,0,5,337,245,92,332,5,0,2183,4,2534,2187,337,5,199,161,48,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1699,83,99,196,210,229,246,233,219,120,58,6,0 to 99,46,1052,643,4,1669,30,0,88,1016,53,764,48,618,1079,0,2,1667,381,226,10,1,361,246,0,607,31,48,89,86,92,106,80,49,17,20,0,0 to 98,40,157,404,29,17,35,518,54,107,0,27,0,1,7,618,249,369,607,11,0,4166,19,4812,4185,618,7,738,638,40,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2385,6,15,209,712,579,425,290,102,32,7,8,0 to 105,38,257,2122,6,2385,0,0,9,2016,1,198,6,399,1986,0,0,2385,395,4,0,0,59,340,0,399,2,5,57,99,79,84,58,12,2,1,0,0 to 85,39,234,135,12,18,16,242,141,15,0,6,0,0,2,399,340,59,399,0,0,2620,0,3019,2620,399,2,267,242,39,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2249,33,54,215,581,443,352,261,184,78,45,3,0 to 118,40,599,1632,18,2241,8,0,65,1906,9,564,12,574,1674,0,1,2240,502,67,4,1,211,358,0,569,22,37,86,132,94,90,67,30,12,4,0,0 to 90,36,245,278,38,8,90,325,154,81,1,21,0,0,3,574,361,213,569,5,0,3299,3,3879,3302,574,3,48,46,35,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,6637,83,102,744,1090,1048,1113,1063,714,402,223,55,0 to 119,47,3467,3109,61,6556,81,0,658,4976,28,2301,128,3620,3002,0,15,6541,3422,136,60,2,1735,1809,14,3558,47,71,558,741,649,613,470,289,132,48,2,0 to 104,40,2075,387,205,891,321,2157,1080,362,13,140,5,4,21,3620,1844,1761,3558,62,0,19282,37,22971,19319,3620,21,293,286,40,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,5659,123,159,449,842,898,856,998,737,367,220,10,0 to 119,49,2456,3127,76,5635,24,0,532,3186,63,2387,23,2550,3105,0,4,5631,2321,218,9,2,648,1884,7,2539,46,68,240,493,514,447,377,223,104,37,1,0 to 102,43,889,412,99,1139,106,1072,1361,26,1,101,0,0,10,2550,1891,652,2539,11,0,10057,13,12673,10070,2550,10,52,50,42,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,1292,40,35,167,198,205,204,200,125,82,34,2,0 to 99,45,719,551,22,1232,60,0,132,887,16,407,9,371,901,0,20,1212,282,88,0,1,181,188,1,370,4,14,59,59,74,58,54,23,20,6,0,1 to 97,40,237,66,38,29,13,314,43,50,0,26,0,0,4,371,188,182,370,1,0,3818,59,4249,3877,371,4,483,482,40,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,1254,20,36,124,188,180,214,198,183,80,30,1,0 to 119,49,617,621,16,1236,18,0,38,818,5,372,42,433,819,0,2,1234,363,61,6,3,142,280,2,424,6,9,58,96,84,78,46,35,14,7,0,0 to 96,39,275,80,33,36,22,326,76,24,0,10,0,0,2,433,283,148,424,9,0,3594,9,4043,3603,433,2,462,456,39,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,9929,205,329,931,1155,1242,1309,1628,1535,1093,479,23,0 to 100,53,4972,4548,409,9825,104,0,816,6852,82,3152,106,3626,6254,1,48,9777,3582,20,24,0,1726,1853,23,3602,104,199,578,626,601,555,394,241,191,134,3,0 to 100,39,1576,206,995,825,1744,1251,607,561,4,317,3,1,75,3626,1867,1736,3602,24,0,20707,77,24444,20784,3626,75,1891,1880,39,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,79331,1843,2766,9044,13505,11930,12193,11939,8714,4652,2168,577,0 to 119,45,44263,34564,504,78865,466,0,3335,68140,458,8939,446,29589,49541,22,179,78664,28965,498,121,5,15588,13642,233,29463,633,1329,5065,6350,4741,4430,3292,1767,982,535,465,0 to 104,37,9744,3755,3729,12235,6971,8457,14035,2358,16,1273,12,5,341,29589,13697,15659,29463,126,0,192131,349,222472,192480,29589,341,5685,5338,37,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,22800,439,831,2139,2762,2763,3075,3800,3737,2288,853,113,0 to 119,52,12625,9784,391,22472,328,0,1852,18798,177,4338,71,8655,14136,3,6,22463,8493,70,92,0,4425,3982,156,8563,200,551,1387,1541,1395,1268,1063,632,406,202,10,0 to 101,39,3554,763,967,3279,1999,2621,3943,409,7,542,6,2,185,8655,4024,4472,8563,92,0,71092,268,80073,71360,8655,185,616,517,39,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,10861,163,329,1090,1359,1568,1796,1812,1503,865,354,22,0 to 101,50,6182,4563,116,10834,27,0,631,8572,130,1931,112,2853,7995,1,12,10821,2727,117,9,0,1560,1274,10,2844,25,96,459,439,450,478,396,265,158,86,1,0 to 100,43,1387,484,228,745,267,1757,820,418,0,193,0,0,48,2853,1278,1565,2844,9,0,29293,18,32179,29311,2853,48,1780,1747,43,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,1840,63,171,301,339,235,242,215,164,81,29,0,0 to 94,36,987,828,25,1832,8,0,70,705,2,1045,19,841,998,1,0,1831,589,246,5,1,428,402,5,835,25,83,160,173,117,114,79,58,25,7,0,0 to 93,33,616,80,107,32,567,236,32,129,3,72,3,1,7,841,406,430,835,6,0,3471,2,4319,3473,841,7,1463,1362,33,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,22500,295,525,1863,3035,3000,3253,3631,3623,2334,912,29,0 to 168,52,13898,8539,63,22464,36,0,5501,12749,177,7048,242,5069,16881,1,549,21916,4920,136,12,1,3218,1817,21,5056,66,142,639,1041,1020,791,652,384,237,95,2,0 to 104,40,3013,967,399,677,634,3326,1096,662,4,405,0,0,61,5069,1818,3230,5056,13,0,39592,23,44752,39615,5069,61,1611,1446,40,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,26693,288,573,2110,3192,3079,3861,5116,4534,2471,1190,279,0 to 119,55,14925,11190,578,26556,137,0,1432,22387,230,4625,277,6959,19698,0,36,26521,6217,688,48,6,3689,3190,26,6905,95,249,1090,1263,968,1033,977,663,382,234,5,0 to 103,42,3090,910,1350,1555,1123,3775,2007,872,7,522,5,0,113,6959,3218,3715,6905,54,0,59879,84,67001,59963,6959,113,2739,2117,42,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,1062,25,52,100,129,174,128,168,154,88,43,1,0 to 118,49,631,421,10,1062,0,0,49,727,6,296,7,264,798,0,0,1062,226,38,0,0,155,108,1,264,0,18,31,43,39,29,39,35,24,6,0,6 to 91,45,213,22,4,25,4,230,30,39,0,28,0,0,4,264,108,155,264,0,0,2164,0,2430,2164,264,4,451,396,46,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,19653,320,437,1513,2183,2172,2581,3074,3218,2210,735,1210,0 to 103,55,10432,8293,928,19499,154,0,341,17867,222,1196,116,4612,14989,0,52,19449,4515,65,32,0,2370,2131,79,4580,83,168,729,843,726,709,616,406,240,82,10,0 to 103,41,1284,521,772,2003,557,1636,2387,361,13,230,5,1,51,4612,2148,2384,4580,32,0,55058,125,59867,55183,4612,51,1552,1261,41,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,2306,49,71,262,296,255,334,415,321,217,83,3,0 to 118,51,1318,971,17,2302,4,0,117,1567,16,733,15,583,1723,0,0,2302,535,45,0,3,282,295,3,580,11,28,110,93,75,94,79,54,29,8,2,0 to 99,41,263,91,139,87,169,301,110,56,0,33,0,0,3,583,297,283,580,3,0,5192,1,5785,5193,583,3,788,738,41,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,4797,30,61,170,244,263,393,649,1665,1071,166,85,0 to 119,68,2414,2229,154,4717,80,0,316,3808,164,946,109,1091,3683,0,23,4694,998,85,7,1,495,584,4,1083,2,25,82,72,109,136,155,290,178,42,0,4 to 99,63,630,162,56,235,58,764,261,255,1,159,0,0,32,1091,587,500,1083,8,0,15278,73,16455,15351,1091,32,577,565,63,2.170222363613529,0.1387390006306793
30,30,59,117,SEMINOLE,Seminole,FL,22813,342,598,2552,3297,3148,3512,3504,2874,1411,727,848,0 to 119,48,12769,9830,214,22755,58,0,929,19477,246,2342,141,6566,16192,1,54,22703,6476,65,25,0,3480,2982,79,6541,116,198,1325,1333,974,977,715,446,256,225,1,0 to 104,38,2532,691,794,2524,858,2051,3632,642,5,406,1,0,84,6566,2993,3491,6541,25,0,56739,35,63404,56774,6566,84,2255,2013,37,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,89353,1576,2230,9915,15514,14021,13935,12990,8758,4185,1641,4588,0 to 120,44,47992,40650,711,88013,1339,1,2445,82010,585,7798,503,29466,59481,1,405,87609,28947,139,375,5,14582,14129,375,29086,446,788,5495,7211,5241,4377,3139,1565,806,358,40,0 to 106,36,6636,3858,4703,13889,4475,6152,18459,1580,52,839,41,5,232,29466,14328,14754,29085,380,1,224453,983,255174,225436,29466,232,3148,2920,36,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,5469,56,128,432,580,531,697,992,1086,724,234,9,0 to 222,58,3053,2262,154,5460,9,0,279,3880,119,1182,40,1228,4214,1,26,5434,753,473,2,0,625,600,1,1226,12,36,183,157,134,190,229,146,96,45,0,0 to 100,50,946,86,84,110,66,1003,157,88,0,118,0,0,29,1228,601,626,1226,2,0,15466,7,16714,15473,1228,29,2020,1567,50,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,5614,101,127,554,768,693,816,939,742,543,327,4,0 to 102,52,3338,2263,13,5586,28,0,515,3943,66,1890,58,1707,3905,1,1,5584,1439,254,12,2,923,769,1,1693,24,54,250,287,229,254,235,183,123,68,0,0 to 100,45,1143,169,188,193,275,1085,333,335,2,217,2,1,33,1707,773,933,1693,14,0,15592,14,17326,15606,1707,33,2077,2026,45,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,51658,556,970,4382,7246,6299,7505,9308,7888,4779,2634,91,0 to 120,53,29373,22206,79,51272,386,0,4422,40450,411,14702,526,16603,35031,1,23,51249,16298,190,109,7,8856,7625,7,16488,229,573,2443,3344,2295,2390,2307,1426,932,653,12,0 to 104,42,8125,2823,1279,4261,1676,9647,5165,2076,27,1517,21,2,437,16604,7687,8908,16488,116,0,144646,274,161653,144920,16604,437,1203,1111,42,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,3074,94,142,335,403,399,385,447,368,270,219,12,-50 to 118,49,1854,1152,68,3057,17,0,110,2038,110,1123,28,1155,1918,0,1,3056,994,144,14,3,620,510,8,1138,40,89,183,157,181,160,129,100,75,40,1,0 to 102,40,616,154,225,143,340,599,199,183,2,92,0,0,32,1155,516,631,1138,17,0,5761,0,6928,5761,1155,32,334,330,40,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,67668,1098,1958,7631,12202,10192,10273,10851,7590,3811,1928,134,-6 to 119,45,36817,30071,780,66913,755,0,1960,59306,454,5878,270,21322,46182,12,152,66754,19634,1465,205,18,11038,9928,133,21099,288,858,3508,5004,3552,3113,2478,1429,694,390,8,0 to 103,37,5133,6855,2096,7015,1712,10270,9117,1168,28,625,15,6,157,21322,10049,11138,21099,223,0,173593,548,195684,174141,21322,157,5058,4944,37,3.2741145576068362,0.20042527586500067
37,37,34,067,LAFAYETTE,Lafayette,FL,441,10,5,50,58,45,49,56,63,58,46,1,0 to 119,55,280,155,6,441,0,0,15,345,0,57,1,111,330,0,0,441,102,9,0,0,64,47,0,111,5,5,10,22,6,19,20,17,3,4,0,1 to 98,49,58,28,16,9,15,84,12,22,0,7,0,0,1,111,47,64,111,0,0,759,0,873,759,111,1,63,63,48,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,1065,24,60,97,116,113,182,210,161,78,24,0,0 to 94,51,589,473,3,1003,62,0,83,611,1,310,22,373,690,0,2,1001,361,3,9,0,193,171,0,364,7,25,44,46,48,71,73,43,11,5,0,1 to 92,47,202,120,8,34,18,300,46,70,2,24,2,0,2,373,178,195,364,9,0,3028,55,3462,3083,373,2,448,444,46,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,1372,16,36,99,100,134,163,437,295,76,16,0,0 to 118,58,414,952,6,1372,0,0,60,1140,4,250,5,218,1154,0,0,1372,143,75,0,0,89,129,0,218,5,11,40,30,23,20,55,28,4,2,0,0 to 91,44,153,53,11,1,10,200,8,29,0,22,0,0,4,218,129,89,218,0,0,3319,0,3538,3319,218,4,294,292,47,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1777,32,46,170,223,218,270,342,206,159,104,7,0 to 118,52,1067,689,21,1775,2,0,129,1382,34,416,2,332,1444,0,1,1774,236,96,0,0,163,169,0,332,6,12,47,38,55,56,55,24,25,13,1,0 to 107,46,197,82,15,38,10,274,48,35,0,26,0,0,4,332,169,163,332,0,0,3722,2,4059,3724,332,4,520,488,46,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,1940,26,68,184,266,295,332,349,251,126,42,1,0 to 102,49,964,967,9,1932,8,0,59,1266,13,648,33,598,1338,0,4,1928,552,40,5,1,203,388,1,592,4,21,79,119,114,107,100,33,17,4,0,1 to 86,41,364,147,36,45,37,479,76,65,0,27,1,0,4,598,390,207,592,6,0,6670,2,7306,6672,598,4,531,456,41,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,24400,300,476,1988,2733,2801,3437,5082,4361,2338,738,146,0 to 119,55,13686,10600,114,24373,27,0,1291,21173,107,4408,152,5521,18870,0,9,24364,5391,109,18,3,2919,2557,24,5500,54,140,1006,978,803,806,768,472,279,215,0,0 to 105,41,2872,585,462,1581,727,3003,1770,804,6,402,3,0,115,5521,2567,2930,5500,21,0,73616,15,79206,73631,5521,115,1394,1336,41,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,30128,707,1139,3142,4579,4413,4388,4353,3769,2305,998,335,0 to 119,47,16747,13066,315,30009,119,0,1669,24349,231,5513,225,12735,17350,1,42,29966,11440,1254,32,9,6675,5856,163,12694,253,627,1905,2436,2230,1883,1491,989,589,327,5,0 to 103,39,5825,2139,1159,3571,3090,4916,4688,1613,11,1118,10,1,269,12735,5872,6700,12694,41,0,75706,79,88600,75785,12735,269,4109,3539,39,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,21407,292,756,2185,3504,3449,3619,3154,2252,1116,405,675,0 to 155,45,11656,9561,190,21297,110,0,2079,16484,390,3375,236,8649,12667,2,89,21207,8509,58,80,2,4418,4033,116,8567,119,362,1279,1809,1610,1519,949,589,301,104,8,0 to 104,39,2491,428,2329,3319,3276,1320,3971,686,10,356,8,2,79,8649,4085,4445,8567,82,0,50044,28,58845,50072,8649,79,2882,2371,39,3.375268581975384,0.3579282820217912
45,45,28,055,HIGHLANDS,Highlands,FL,4920,91,122,315,577,500,594,761,824,717,399,20,0 to 119,58,2900,1987,33,4854,66,0,156,3971,47,976,42,1197,3715,0,8,4846,1086,108,3,0,639,553,2,1194,23,45,138,195,165,176,192,119,101,43,0,0 to 96,47,660,197,179,158,327,645,222,264,2,142,1,0,29,1197,556,639,1194,3,0,13687,63,14959,13750,1197,29,1212,1098,47,2.84124660964211,0.2614661435844947
46,46,36,071,LEE,Lee,FL,39226,554,895,3945,5473,5352,5730,6125,5720,3662,1699,71,0 to 119,51,21892,16941,393,38075,1150,1,1517,32968,613,8469,239,15551,23649,2,24,38050,14639,632,274,6,7929,7110,232,15271,279,540,2433,2888,2517,2458,1954,1231,734,502,15,0 to 101,41,6268,1443,640,6920,3421,4643,7207,1786,20,981,17,8,300,15551,7253,8056,15270,280,1,92162,929,108690,93091,15551,300,3706,2103,41,5.538754123500179,0.1913752850054424
47,47,11,021,COLLIER,Collier,FL,23438,592,988,2686,2999,3192,3264,3312,3196,2356,815,38,0 to 105,49,12359,10755,324,22994,444,0,1368,16883,356,6140,218,9662,13573,3,200,22791,9108,389,149,16,4792,4576,129,9497,259,502,1651,1596,1645,1526,1166,675,435,206,1,0 to 101,39,4611,567,904,3415,3876,2248,3373,1076,22,668,12,6,124,9662,4636,4833,9497,165,0,48975,288,58989,49263,9662,124,5790,4810,39,5.510854340882748,0.4690246460042334
48,48,13,025,DADE,Dade,FL,255933,3316,5961,25359,43888,41831,46327,40587,25728,14339,7824,773,0 to 225,46,132399,121734,1800,254066,1866,1,8805,222120,2785,28670,1137,121207,134353,90,283,253695,118916,1386,896,9,60734,58777,791,120302,1714,3717,15409,23004,20510,21869,16910,9526,5365,3014,169,0 to 120,43,41974,10771,10162,57395,46963,14045,59294,10805,61,5565,34,16,1647,121207,59221,61129,120301,905,1,511154,994,634887,512148,121207,1647,10111,9373,43,5.083999884705762,0.45963940749256754
49,49,44,087,MONROE,Monroe,FL,5401,100,132,439,780,784,928,1046,734,345,111,2,0 to 101,50,2766,2602,33,5306,95,0,1483,2579,83,1452,146,1325,4022,0,54,5254,1272,27,21,5,606,690,3,1299,29,46,158,259,230,242,172,116,58,15,0,0 to 100,42,693,59,49,498,382,408,509,189,5,85,4,0,9,1325,706,616,1299,26,0,10925,67,12327,10992,1325,9,2344,2067,42,13.262804083678807,0.23593160854831502
50,50,57,113,SANTA ROSA,Santa Rosa,FL,10437,300,411,1224,1526,1535,1631,1615,1254,649,280,12,0 to 119,46,5336,5055,46,10353,84,0,471,7420,99,2457,170,3399,7019,0,19,10334,3296,80,23,0,1381,1978,17,3376,51,98,647,621,558,559,452,231,119,61,2,0 to 101,39,1909,408,167,892,122,2248,1006,126,0,159,1,0,24,3399,1987,1395,3376,23,0,22628,61,26120,22689,3399,24,3174,2631,39,3.5520292477349953,0.24455885949485284
51,51,66,131,WALTON,Walton,FL,2871,65,90,398,384,417,417,454,316,189,138,3,0 to 101,47,1498,1336,37,2710,161,0,145,2317,15,1158,136,1239,1630,0,2,2708,1102,27,107,3,537,590,2,1129,17,47,287,202,207,168,177,73,49,12,0,0 to 101,38,882,74,43,130,230,771,128,150,16,58,2,0,13,1239,642,595,1129,110,0,7505,54,8838,7559,1239,13,592,537,38,3.6013887783029053,0.25487062208733263
52,52,32,063,JACKSON,Jackson,FL,4468,54,99,413,787,761,775,667,425,288,192,7,0 to 105,46,1873,2519,76,4440,28,0,38,2983,19,1361,44,1588,2874,1,5,4434,1523,52,12,1,483,1083,9,1575,14,42,158,324,297,296,221,119,63,53,1,0 to 100,43,744,331,55,445,66,687,822,143,2,91,0,0,32,1588,1090,488,1575,13,0,8461,18,10076,8479,1588,32,1082,883,43,2.2164651060825427,0.2310932808082651
53,53,67,133,WASHINGTON,Washington,FL,1473,34,49,134,186,190,239,289,169,123,60,0,0 to 119,51,816,599,58,1462,11,0,48,1017,9,505,15,558,897,0,18,1444,469,82,7,0,250,261,40,551,9,26,66,92,71,91,97,54,39,13,0,0 to 99,47,237,80,19,215,7,296,248,38,2,36,1,0,14,558,263,255,551,7,0,3777,5,4347,3782,558,14,430,372,48,2.379530617907179,0.14998158443964985
54,54,45,089,NASSAU,Nassau,FL,4473,68,104,464,501,552,643,806,713,427,191,4,0 to 103,53,2432,1898,143,4317,156,0,209,3419,28,700,118,1079,3363,1,30,4287,993,29,55,2,516,506,0,1022,17,30,217,153,169,170,154,108,39,22,0,0 to 95,42,651,114,52,205,50,739,233,141,4,63,1,0,10,1079,530,549,1022,57,0,12781,98,13976,12879,1079,10,1171,1165,42,3.7594213077324343,0.1544196859093086
